afkorting,alias,author,begrip,GGM-bron,created,datum_opname,definitie,domain,domain_name,herkomst,herkomst_definitie,GGM-guid,is_domain,modelnaam_kort,modified,GGM-naam,parent_package_id,phase,release,schema_id,status,stereotype,GGM-toelichting,uri,version,visibility,GGM-uml-type,Datum-tijd-export
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-03-21 12:25:41,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
",Het informatiedomein dat gegevens omvat over de interne processen en ondersteunende functies die bijdragen aan het functioneren van de interne organisatie.,"Package: ""9 Interne Organisatie""",Interne Organisatie,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_BB0CE95E_98B3_48ec_905F_5512A5AB221C,True,,2025-03-27 15:28:35,9 Interne Organisatie,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-04-16 13:48:36,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over meldingen, aanvragen, baliecontacten, telefonische afhandeling en digitale interacties die faciliterend zijn voor andere domeinen.","Package: ""10 Dienstverlening""",Dienstverlening,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549,True,,2025-03-27 15:28:35,10 Dienstverlening,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-03-19 14:56:11,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat de fundamentele gegevensstructuren en -definities bevat, gebaseerd op de Nederlandse basisregistraties, en dat dient als fundament voor alle overige informatiedomeinen.","Package: ""99 Kern""",Kern,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97,True,,2025-12-18 15:38:53,99 Kern,EAPK_D7FD597E_1F40_48df_AFFC_EA3B5B5D3FBF,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.7.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2018-04-04 15:05:22,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over de registratie en dienstverlening met betrekking tot de persoonlijke levenssfeer van inwoners, gericht op het vastleggen en verstrekken van officiële documenten en informatie.","Package: ""Burgerzaken""",Burgerzaken,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_C84D590F_615F_4671_B4C2_7610C80F33F4,True,,2025-03-27 15:28:35,Burgerzaken,EAPK_47DC5ADA_17D7_49e1_8BC6_F798EE72B111,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-05-13 16:48:24,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over de ondersteuning van de gemeenteraad en de organisatie van raadsprocessen, gericht op het faciliteren van besluitvorming en democratische controle.","Package: ""Griffie""",Griffie,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_462ADAB3_19AB_405b_9BB5_0951DA70BFA0,True,,2025-03-27 15:28:35,Griffie,EAPK_47DC5ADA_17D7_49e1_8BC6_F798EE72B111,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Ashkan Ashkpour,,,2023-10-12 14:33:46,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiesubdomein dat gegevens omvat over de politieke organen van de gemeente, hun activiteiten en de ondersteuning daarvan.","Package: ""Politiek""",Politiek,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_FA375616_AD70_403d_87B1_659E433E7EC2,True,,2025-12-18 15:38:53,Politiek,EAPK_47DC5ADA_17D7_49e1_8BC6_F798EE72B111,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.3.0,,Package,12052026-14:54:02
,,Arjen Brienen,,,2019-04-16 10:33:46,,,"Package: ""1 Veiligheid en Vergunningen""",Veiligheid en Vergunningen,,,EAPK_6DF44A83_D495_47ff_B782_76137C4AC030,False,,2019-04-16 10:33:46,Diagram,EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C,1.0,,GGM_ROOT_SCHEMA,Proposed,,,,1.0,,Package,12052026-14:54:02
,,Arjen Brienen,,,2019-04-16 10:33:38,,Alle objecttypen uit het domein VTH (Vergunningverlening Toezicht en Handhaving),"Package: ""1 Veiligheid en Vergunningen""",Veiligheid en Vergunningen,,,EAPK_AA7AC6CA_3F75_4f72_9941_AC3710C5F46A,False,,2025-12-18 15:38:53,Model VTH,EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C,1.0,,GGM_ROOT_SCHEMA,Proposed,,,,1.1.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-02-13 13:34:14,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat de structuur, definities en relaties van gegevens omvat met betrekking tot verkeer en vervoer van personen en goederen, gericht op het faciliteren van efficiënte en duurzame mobiliteit.","Package: ""Mobiliteit""",Mobiliteit,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F,True,,2025-03-27 15:28:35,Mobiliteit,EAPK_C048FE46_1774_4ade_A25D_6DB87794B8A7,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-02-13 13:34:29,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over het stilstaan van voertuigen op een daarvoor bestemde plaats, met als doel het reguleren van parkeerruimte en het bevorderen van leefbaarheid, bereikbaarheid en mobiliteit binnen de gemeente.","Package: ""Parkeren""",Parkeren,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_AF9ED49C_3050_4403_98C8_8DC06A705338,True,,2025-03-27 15:28:35,Parkeren,EAPK_C048FE46_1774_4ade_A25D_6DB87794B8A7,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
,,Arjen Brienen,,,2019-12-18 13:52:00,,,"Package: ""3 Economie""",Economie,,,EAPK_526D341E_A5B8_464d_85FD_6A13F32FB5B0,False,,2025-03-27 15:28:35,Diagram,EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8,1.0,,GGM_ROOT_SCHEMA,Proposed,,,,1.2,,Package,12052026-14:54:02
,,Arjen Brienen,,,2019-12-18 13:51:43,,"Het informatiedomein dat gegevens omvat over economische ontwikkeling, bedrijvigheid en innovatie.","Package: ""3 Economie""",Economie,,,EAPK_DB8BA49F_252E_4044_A93B_8215B6903827,False,,2025-03-27 15:28:35,Model Economie,EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8,1.0,,GGM_ROOT_SCHEMA,Proposed,,,,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-10-07 17:03:10,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over de naleving van de leerplichtwet en de organisatie van leerlingenvervoer, gericht op het waarborgen van toegang tot onderwijs voor alle kinderen en jongeren.","Package: ""Leerplicht en Leerlingenvervoer""",Leerplicht en Leerlingenvervoer,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_F717C1C4_7FF4_4024_BDFE_7F424C8EC0E9,True,,2025-03-27 15:28:35,Leerplicht en Leerlingenvervoer,EAPK_604AC59D_D038_4e78_A5FA_80E4748DED5B,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Ashkan Ashkpour,,,2023-10-12 14:38:05,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over het funderend onderwijs, gericht op het waarborgen van toegang tot en kwaliteit van primair en voortgezet onderwijs voor kinderen en jongeren.","Package: ""Onderwijs""",Onderwijs,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_914BE44C_2654_456f_A20E_C196DCEB20D9,True,,2025-12-18 15:38:53,Onderwijs,EAPK_604AC59D_D038_4e78_A5FA_80E4748DED5B,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.3.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Ashkan Ashkpour,,,2023-10-12 14:39:48,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
",,"Package: ""Erfgoed""",Erfgoed,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_44E38F87_AE1C_45c6_B0AB_1366F32ADB28,True,,2025-12-18 15:38:53,Erfgoed,EAPK_40A8E0F6_63CB_4ac6_B378_95CC70E4A840,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.1.0,,Package,12052026-14:54:02
"#NOTES#Description: Afkorting van dit model. Deze afkorting wordt o.a. gebruikt waar informatie over het model wordt gepubliceerd.
",,Arjen Brienen,,,2019-08-12 10:53:20,"#NOTES#Description: MIM 1.1: De datum waarop het modelelement is opgenomen in het informatiemodel.
","Het informatiedomein dat gegevens omvat over de verwerving, het beheer, het onderzoek en de presentatie van museale collecties en tentoonstellingen binnen een overheidsorganisatie.","Package: ""Musea""",Musea,"#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaraan het modelelement ontleend is dan wel de eigen organisatie indien het door de eigen organisatie toegevoegd is.
","#NOTES#Description: MIM 1.1: De registratie of het informatiemodel waaruit de definitie is overgenomen dan wel een aanduiding die aangeeft uit welke bronnen de definitie is samengesteld.
",EAPK_968E06DC_172D_4e4f_9084_1F7B097620CC,True,,2025-03-27 15:28:35,Musea,EAPK_40A8E0F6_63CB_4ac6_B378_95CC70E4A840,1.0,,GGM_ROOT_SCHEMA,Proposed,Domein,"#NOTES#Description: MIM 1.1: Een inhoudelijke toelichting op de definitie, ter verheldering of nadere duiding.
",,1.2,,Package,12052026-14:54:02
